annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
2017120;SAMEDI  ;07/10/2017;07/12/2017;41;44;8;37;46;3;8-37-41-44-46+3;1;3000000;0;100000;41;1000;363;500;2012;50;18055;20;31252;10;277539;5;553210;2,2;10;20000;E 3742 3682,M 8466 0308,B 7589 2451,H 5459 2679,K 3913 1961,O 0696 3931,U 0646 4154,D 9288 3454,O 2316 4666,I 2663 6865;8 634 684;eur;
2017119;MERCREDI;04/10/2017;04/12/2017;45;34;20;30;1;9;1-20-30-34-45+9;0;2000000;0;100000;20;1000;244;500;1459;50;13521;20;22615;10;213541;5;346390;2,2;10;20000;O 1488 3911,Q 9453 7369,N 1637 7619,V 9044 6076,A 2958 2026,J 4990 5367,S 9485 7988,G 1897 1281,A 5545 5819,F 6988 5548;6 689 153;eur;
2017118;LUNDI   ;02/10/2017;02/12/2017;1;11;28;12;20;7;1-11-12-20-28+7;2;1000000;4;100000;137;1000;619;500;4001;50;21262;20;43594;10;233775;5;421333;2,2;10;20000;A 5265 8683,O 1847 6374,I 9322 4009,F 3148 0304,P 9883 5671,F 0217 7010,S 0750 5250,P 0625 0474,K 0346 2491,H 1253 3371;7 423 448;eur;
2017117;SAMEDI  ;30/09/2017;30/11/2017;16;44;3;38;27;7;3-16-27-38-44+7;1;4000000;4;100000;86;1000;533;500;3990;50;22027;20;56450;10;314253;5;779606;2,2;10;20000;H 4863 6886,V 6267 8134,G 2524 4654,K 4804 9531,C 6487 4132,M 6770 8500,J 0824 2867,B 2949 7975,F 4216 2088,L 0324 4268;6 870 754;eur;
2017116;MERCREDI;27/09/2017;27/11/2017;13;10;16;42;35;4;10-13-16-35-42+4;0;3000000;2;100000;37;1000;377;500;1636;50;16047;20;26384;10;244005;5;346467;2,2;10;20000;S 4564 4520,M 6982 1047,L 2970 4519,J 6235 0687,K 1578 9202,J 4806 3960,S 0033 5988,D 6530 2676,G 8058 8264,D 9268 7850;4 965 826;eur;
2017115;LUNDI   ;25/09/2017;25/11/2017;37;16;17;33;34;6;16-17-33-34-37+6;0;2000000;1;100000;23;1000;273;500;1029;50;11067;20;16721;10;166680;5;258773;2,2;10;20000;Q 2098 8179,R 2526 5199,S 9534 4402,P 2323 8774,Q 2806 6213,V 0334 3044,H 4813 4621,O 5593 5593,O 9016 5564,N 4885 1021;4 517 394;eur;
2017114;SAMEDI  ;23/09/2017;23/11/2017;15;33;22;19;37;4;15-19-22-33-37+4;1;6000000;4;100000;72;1000;630;500;2818;50;25801;20;38750;10;357966;5;508830;2,2;10;20000;H 5659 6605,U 5269 0423,T 6624 5606,U 6251 8605,K 5654 3858,F 8052 2749,P 4522 6812,O 5829 9445,R 5171 3950,P 9883 4764;2 972 447;eur;
2017113;MERCREDI;20/09/2017;20/11/2017;37;6;4;17;22;6;4-6-17-22-37+6;0;5000000;2;100000;59;1000;433;500;2344;50;20531;20;30037;10;283557;5;339906;2,2;10;20000;K 3192 0798,D 1985 2839,O 6610 2384,R 7762 3003,O 4524 2756,D 8807 4144,L 6352 9772,Q 7397 9667,U 6664 6983,V 5600 0905;9 864 135;eur;
2017112;LUNDI   ;18/09/2017;18/11/2017;12;25;37;29;34;9;12-25-29-34-37+9;0;4000000;2;100000;39;1000;290;500;1402;50;13055;20;20201;10;190378;5;278295;2,2;10;20000;H 6498 4639,J 7909 9039,R 3081 9589,U 5475 2343,R 3948 5640,S 4308 6191,H 2278 6492,P 4786 6855,E 4421 3414,T 7197 2202;7 881 099;eur;
2017111;SAMEDI  ;16/09/2017;16/11/2017;37;46;4;18;16;5;4-16-18-37-46+5;0;3000000;2;100000;54;1000;465;500;2456;50;19572;20;39325;10;306825;5;593640;2,2;10;20000;A 7705 7135,D 1119 9542,N 6813 7855,F 4990 3904,K 2055 0730,R 9317 3303,G 1423 1011,N 0578 3939,R 3956 1888,B 5913 6567;0 349 561;eur;
2017110;MERCREDI;13/09/2017;13/11/2017;18;45;4;25;33;1;4-18-25-33-45+1;0;2000000;3;100000;31;1000;466;500;1338;50;17506;20;19690;10;240802;5;274989;2,2;10;20000;J 5210 1350,C 7217 9850,C 0474 0566,V 5032 8432,S 4671 8888,K 6156 6037,O 7580 5340,I 6609 6515,E 8147 7156,F 2266 3442;4 827 387;eur;
2017109;LUNDI   ;11/09/2017;11/11/2017;23;42;48;45;12;9;12-23-42-45-48+9;1;3000000;1;100000;21;1000;283;500;1348;50;13742;20;19545;10;190027;5;278265;2,2;10;20000;N 6517 0301,F 9659 9229,U 3974 2678,L 4684 7791,O 8882 3370,K 8523 2637,M 1437 5553,G 3027 2704,S 1527 9936,M 1966 3088;8 675 370;eur;
2017108;SAMEDI  ;09/09/2017;09/11/2017;44;13;19;15;39;1;13-15-19-39-44+1;0;2000000;2;100000;42;1000;466;500;1916;50;23081;20;28764;10;353539;5;389156;2,2;10;20000;Q 0425 3219,B 3257 7596,V 7113 4328,U 8396 6147,I 4357 0793,G 4635 8313,V 8212 9962,R 9754 8711,H 2238 0882,R 4933 2179;3 587 047;eur;
2017107;MERCREDI;06/09/2017;06/11/2017;49;46;28;19;39;4;19-28-39-46-49+4;1;8000000;1;100000;32;1000;367;500;1747;50;17206;20;25718;10;242440;5;393593;2,2;10;20000;G 1460 1364,N 6223 2517,H 2548 4587,P 3827 5152,P 7142 3155,U 9133 8169,L 3780 3275,N 7425 3293,N 7307 6586,P 9077 9370;7 688 236;eur;
